"created_at","id_str","full_text","quote_count","reply_count","retweet_count","favorite_count","lang","user_id_str","conversation_id_str","username","tweet_url","image_url","location"
"Tue Jan 23 16:55:12 +0000 2024","1749838204075725025","Kalo lo mau yang beda Pilih Ganjar Pranowo MahfudMD di Pilpres 14 Feb 2024. Pastiin Indonesia makin unggul dan maju!SNNq"xBn #JNK #GanjarMahfudRebound #GanjarPranowoPilihanUmat https://t.co/2G54bueqS8","0","0","0","0","in","333049438","1749838204075725025","saudiboi28","https://twitter.com/saudiboi28/status/1749838204075725025","https://pbs.twimg.com/media/GDsDr5lawAArsWG.jpg",""
"Tue Jan 23 14:19:41 +0000 2024","1749799063187575229","Kalau para legend berkumpul dan sepakat dukung Ganjar-Mahfud MD  ini bukti memang pilihan yang tepat bagi bangsa kita #SatSetGanjarMahfud #GanjarMahfud2024 #Pilpres2024 #Pemilu2024 #PastiGanjar https://t.co/LCaZW7YXSq","0","1","1","1","in","1057240909","1749799063187575229","Vhienaiueo","https://twitter.com/Vhienaiueo/status/1749799063187575229","https://pbs.twimg.com/ext_tw_video_thumb/1749798926570700800/pu/img/9JD5xWD2rDrzMvZh.jpg","Vienna, Austria"
"Tue Jan 23 19:25:13 +0000 2024","1749875956351746441","Pemimpin yang merakyat  ramah  dan punya visi  itu Ganjar Pranowo Mahfud MD. Pilih mereka di Pilpres 2024.-ORc23-Ag #JNK #GanjarMahfudRebound #GanjarPranowoPilihanUmat #TabrakProf https://t.co/i4BvCPA7UJ","0","0","0","0","in","1737764294769418240","1749875956351746441","MichaelLau29710","https://twitter.com/MichaelLau29710/status/1749875956351746441","https://pbs.twimg.com/media/GDsDv0QbYAAEhIW.jpg",""
"Tue Jan 23 18:55:13 +0000 2024","1749868405174227444","Pemimpin yang merakyat  ramah  dan punya visi  itu Ganjar Pranowo Mahfud MD. Pilih mereka di Pilpres 2024.ORc23-Ai #JNK #GanjarMahfudRebound #GanjarPranowoPilihanUmat #TabrakProf https://t.co/zSLg9QgwQ7","0","0","0","0","in","1720440854949560321","1749868405174227444","CallanderT48433","https://twitter.com/CallanderT48433/status/1749868405174227444","https://pbs.twimg.com/media/GDsDv0QbYAAEhIW.jpg",""
"Tue Jan 23 19:10:14 +0000 2024","1749872182946116050","Pemimpin yang merakyat  ramah  dan punya visi  itu Ganjar Pranowo Mahfud MD. Pilih mereka di Pilpres 2024.ORc23-As #JNK #GanjarMahfudRebound #GanjarPranowoPilihanUmat #TabrakProf https://t.co/dnGCUDBeaF","0","0","0","0","in","1737764394749042688","1749872182946116050","KarleeT45930","https://twitter.com/KarleeT45930/status/1749872182946116050","https://pbs.twimg.com/media/GDsDv0QbYAAEhIW.jpg",""
"Fri Jan 19 17:39:55 +0000 2024","1748399905302077851","HKTI Deklarasi Dukung Prabowo Subianto di Pilpres 2024 ⁦@prabowo⁩ ⁦@gibran_tweet⁩ ⁦@hkti⁩  https://t.co/XNJkcjjO19","0","1","1","4","in","79139422","1748399905302077851","fadlizon","https://twitter.com/fadlizon/status/1748399905302077851","","Indonesia"
"Tue Jan 23 18:40:13 +0000 2024","1749864630350938125","ABB-"-Ba" Pemimpin yang kekinian dan tahu apa yang dibutuhin rakyat.Pilih Ganjar Pranowo MahfudMD di Pilpres 14 Feb 2024  jangan sampai ketinggalan!#JNK #GanjarMahfudRebound #GanjarPranowoPilihanUmat https://t.co/Rjrrf2bpvr","0","0","0","0","in","333700461","1749864630350938125","momoredd","https://twitter.com/momoredd/status/1749864630350938125","https://pbs.twimg.com/media/GDP2uKQaAAA8HpF.jpg",""
"Tue Jan 23 18:40:12 +0000 2024","1749864628467704069","ABB-"-Ba" Pemimpin yang kekinian dan tahu apa yang dibutuhin rakyat.Pilih Ganjar Pranowo MahfudMD di Pilpres 14 Feb 2024  jangan sampai ketinggalan!#JNK #GanjarMahfudRebound #GanjarPranowoPilihanUmat https://t.co/m26hYODQeN","0","0","0","0","in","333523975","1749864628467704069","LadiiGotDoah303","https://twitter.com/LadiiGotDoah303/status/1749864628467704069","https://pbs.twimg.com/media/GDP2uKQaAAA8HpF.jpg",""
"Tue Jan 23 18:05:17 +0000 2024","1749855840092230107","Pemimpin yang kekinian dan tahu apa yang dibutuhin rakyat.Pilih Ganjar Pranowo MahfudMD di Pilpres 14 Feb 2024  jangan sampai ketinggalan!ABBc"1-Bh #JNK #GanjarMahfudRebound #GanjarPranowoPilihanUmat https://t.co/8WqYa70V9x","0","0","0","0","in","1733864816530636800","1749855840092230107","antosimbolon26","https://twitter.com/antosimbolon26/status/1749855840092230107","https://pbs.twimg.com/media/GDP2uKQaAAA8HpF.jpg",""
"Mon Jan 22 16:04:05 +0000 2024","1749462951483036079","Relawan Erick Thohir Alumni AS Dukung Prabowo-Gibran di Pilpres 2024 https://t.co/wyYC8mulCO #TempoFoto","0","1","0","1","in","18129942","1749462951483036079","tempodotco","https://twitter.com/tempodotco/status/1749462951483036079","","Indonesia"
"Sun Jan 21 06:12:22 +0000 2024","1748951653397782964","Jemaat Gereja HKBP Jetun Silangit Dukung Pasangan Ganjar-Mahfud MD   #3sakti #GanjarMahfud  #GanjarMahfud2024 #MenangTotal #PDIPerjuangan #Megawati #SatSet #TasTes #Pemilu2024 #Pilpres2024 #HKBP #Jemaat #Sumatera   https://t.co/qxe4AQ6LGE","0","0","7","5","in","909641924650270720","1748951653397782964","Ganjar_Mahfud","https://twitter.com/Ganjar_Mahfud/status/1748951653397782964","","Jakarta Capital Region"
"Thu Jan 18 13:09:08 +0000 2024","1747969370134102032","Waspada Neo Orde Baru dengan aksi adu domba dan pecah belah kader PDI Perjuangan di kandang Banteng. Tetap solid &amp; tegak lurus dukung Ganjar Pranowo - Mahfud MD di Pilpres 2024. #BantengCyber  #PDIPerjuangan  #GanjarPranowo  #MahfudMD  #MegawatiSoekarnoPutri  #GanjarMahfud2024 https://t.co/FfHp31TUMr","0","2","4","4","in","1632027484714856449","1747969370134102032","bantengcyber_","https://twitter.com/bantengcyber_/status/1747969370134102032","https://pbs.twimg.com/ext_tw_video_thumb/1747969175400902656/pu/img/cUH_0yxuGROTsWYa.jpg",""
"Sat Jan 20 08:57:42 +0000 2024","1748630871413019134","@yusuf_dumdum Logika : Andai ingin "bargaining" sblm Pilpres saya rasa Bu Mega berpikir sejuta kali. Knp? PDIP tdk mungkin mempertaruhkan tgl 14 Feb 2024  shg hrs kehilangan pemilih Setia Ganjar (Non Pro-Jo). Bahkan jika hrs 2 putaranpun mgkn TDK. Tunggu Pilpres Tuntas &amp; Presiden Terpilih.🤟","0","3","3","58","in","1726089342752628736","1748610213228486808","Gama95770","https://twitter.com/Gama95770/status/1748630871413019134","",""
"Tue Jan 23 18:35:13 +0000 2024","1749863371992678656","Pemimpin yang kekinian dan tahu apa yang dibutuhin rakyat.Pilih Ganjar Pranowo MahfudMD di Pilpres 14 Feb 2024  jangan sampai ketinggalan!ABBc"-Bb #JNK #GanjarMahfudRebound #GanjarPranowoPilihanUmat https://t.co/FxdcpQmFRM","0","0","0","0","in","333197046","1749863371992678656","VeltreaPoindext","https://twitter.com/VeltreaPoindext/status/1749863371992678656","https://pbs.twimg.com/media/GDP2uKQaAAA8HpF.jpg",""
"Tue Jan 23 18:40:12 +0000 2024","1749864627498824087","ABB-"" Pemimpin yang kekinian dan tahu apa yang dibutuhin rakyat.Pilih Ganjar Pranowo MahfudMD di Pilpres 14 Feb 2024  jangan sampai ketinggalan!#JNK #GanjarMahfudRebound #GanjarPranowoPilihanUmat https://t.co/05WWUyJLYU","0","0","0","0","in","333501498","1749864627498824087","wilson_shelly","https://twitter.com/wilson_shelly/status/1749864627498824087","https://pbs.twimg.com/media/GDP2uKQaAAA8HpF.jpg",""
"Tue Jan 23 19:35:13 +0000 2024","1749878473349279908","Pemimpin yang merakyat  ramah  dan punya visi  itu Ganjar Pranowo Mahfud MD. Pilih mereka di Pilpres 2024.-ORc23-Ak #JNK #GanjarMahfudRebound #GanjarPranowoPilihanUmat #TabrakProf https://t.co/vlyyWEznHU","0","0","0","0","in","1720440824150827008","1749878473349279908","BVasile66777","https://twitter.com/BVasile66777/status/1749878473349279908","https://pbs.twimg.com/media/GDsDv0QbYAAEhIW.jpg",""
"Tue Jan 23 17:05:14 +0000 2024","1749840729134842269","Kalo lo mau yang beda Pilih Ganjar Pranowo MahfudMD di Pilpres 14 Feb 2024. Pastiin Indonesia makin unggul dan maju!ABBc"cBl #JNK #GanjarMahfudRebound #GanjarPranowoPilihanUmat https://t.co/lspC4ZK57C","0","0","0","0","in","332778894","1749840729134842269","agffee","https://twitter.com/agffee/status/1749840729134842269","https://pbs.twimg.com/media/GDsDr5lawAArsWG.jpg",""
